column_name,labels,search_terms
Di1,Autoimmune disease,Autoimmune disease|autoimmune disease
Di2,Cancer,Cancer|cancer
Di3,Pregnancy-associated disease,Pregnancy associated disease|pregnancy associated disease|Pregnancy-associated disease|pregnancy-associated disease
