column_name,labels,search_terms
Ot1,Evolution,Evolution|evolution
Ot2,Human leukocyte antigen (HLA),Human leukocyte antigen|human leukocyte antigen|HLA|MHC
Ot3,Immunology,Immunology|immunology
Ot4,Reproduction,Reproduction|reproduction
Ot5,Tissue repair,Tissue repair|tissue repair
Ot6,Wound healing,Wound healing|wound healing
